C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-5.544915615603812,-3.208802363670093,-4.255339174777636,-4.923100584873584,-3.9890615445189894,-4.236535864520283,-4.50255784225048,-4.834380563993338,-4.170778441568355,-4.817989723249406,-4.180026914580907,-4.718018861356168,-3.3668619398570043,20
-5.587727758279017,-3.1407074680428835,-4.203097186296656,-5.026930179237674,-4.007065446231026,-4.198550663873271,-4.493309949251111,-4.852623839627322,-4.18150310624439,-4.787830454200743,-4.1445658985578255,-4.877750173533532,-3.3478871105724775,21
-5.625286717008792,-3.083240241423342,-4.161783450234053,-5.110917283088659,-4.0203707572531,-4.168672324662985,-4.490014330373853,-4.8668383334367835,-4.196766810424382,-4.765127563811273,-4.117795998139483,-5.016310768516534,-3.333631764687631,22
-5.657592491793143,-3.036400683811471,-4.131397966589828,-5.175061896426544,-4.0289774775852125,-4.146900846889427,-4.492670985618706,-4.877024045421727,-4.216569554108329,-4.749881052080998,-4.099717213325877,-5.133700646305175,-3.324095902202465,23
-5.684645082632067,-3.000188795207268,-4.111940735363979,-5.219364019251326,-4.032885607227364,-4.133236230552594,-4.50127991498567,-4.883180975582149,-4.24091133729623,-4.742090919009917,-4.090329544117009,-5.229919806899456,-3.319279523116978,24
-5.706444489525565,-2.9746045756107335,-4.103411756556506,-5.24382365156301,-4.032095146179551,-4.127678475652487,-4.515841118474746,-4.8853091239180495,-4.269792159988087,-4.74175716459803,-4.089632990512878,-5.304968250299376,-3.3191826274311707,25
-5.722990712473638,-2.959648025021869,-4.10581103016741,-5.248440793361595,-4.026606094441777,-4.1302275821891055,-4.536354596085931,-4.883408490429431,-4.303212022183898,-4.748879788845337,-4.097627552513486,-5.358845976504935,-3.323805215145044,26
-5.7342837514762826,-2.955319143440673,-4.119138556196692,-5.233215444647083,-4.01641845201404,-4.140883550162452,-4.562820347819228,-4.877479075116289,-4.341170923883665,-4.763458791751839,-4.114313230118831,-5.391552985516134,-3.333147286258597,27
-5.740323606533503,-2.961617930867145,-4.14339433464435,-5.198147605419476,-4.001532218896342,-4.159646379572523,-4.5952383736746345,-4.867520877978627,-4.383668865087385,-4.785494173317534,-4.139690023328912,-5.403089277332973,-3.3472088407718297,28
-5.741110277645295,-2.978544387301286,-4.178578365510386,-5.143237275678775,-3.9819473950886803,-4.186516070419322,-4.633608673652154,-4.853533899016447,-4.430705845795062,-4.814985933542424,-4.173757932143733,-5.393454851955451,-3.365989878684742,29
-5.736643764811663,-3.0060985127430966,-4.224690648794798,-5.068484455424981,-3.9576639805910556,-4.221492622702847,-4.677931247751784,-4.8355181382297445,-4.482281866006694,-4.851934072426507,-4.216516956563291,-5.362649709383568,-3.3894903999973343,30
-5.727819585670153,-3.047911852941592,-4.2922221649311,-4.957485500831057,-3.924241593199775,-4.272573945087754,-4.737323574987537,-4.811363852565303,-4.546875409662783,-4.905710605758064,-4.276782244551369,-5.294563122884888,-3.4166342692802925,31
-5.715135250019403,-3.106001933312893,-4.387001236382352,-4.801127276437535,-3.8792133539127853,-4.344203320165517,-4.8168509214783075,-4.779898962549109,-4.629196745619161,-4.9815222089750275,-4.359451100532294,-5.18024468871917,-3.4468236335173303,32
-5.697993746101048,-3.177947723357656,-4.502033876192881,-4.610345544795773,-3.8255395175325497,-4.431048808826365,-4.910434967881422,-4.7425299635499805,-4.723593551248828,-5.073120871551876,-4.458646759196873,-5.030434891374703,-3.4807759163279925,33
-5.675798062156721,-3.261328192576536,-4.6303260974070115,-4.396076068457125,-3.766180338861531,-4.527778471960531,-5.011997394854206,-4.700663350936725,-4.824413503924784,-5.174258582963093,-4.56849245523592,-4.855874215339778,-3.5192085413318197,34
-5.647951186428058,-3.353722310470187,-4.7648839130690694,-4.169254609972952,-3.7040960727021917,-4.629060370458242,-5.115459883053983,-4.655705620078157,-4.926004281020028,-5.278687332683157,-4.683111423340245,-4.667303145102687,-3.5628389321483547,35
-5.6138561071566935,-3.4527090465392676,-4.89871333622338,-3.940816931894606,-3.6422469738569947,-4.72956256520973,-5.214744113138081,-4.609063266343091,-5.022713559907559,-5.3801591101865505,-4.79662689820066,-4.475462165151719,-3.612384512397141,36
-5.572915812584261,-3.5558673702844317,-5.024820379914268,-3.7216987967734467,-3.5835932971284037,-4.823953117105225,-5.303771765763825,-4.562142785100337,-5.108889017960378,-5.472425904947753,-4.903162114507976,-4.291091759975167,-3.6685627056977217,37
-5.524533290952394,-3.6607762512063338,-5.136211057186059,-3.5228359671608307,-3.5310952973188794,-4.9069000870349555,-5.376464521588539,-4.516350671718709,-5.1788783325514816,-5.549239706441245,-4.996840306953003,-4.124932414061321,-3.7320909356696372,38
-5.468111530502729,-3.765014658805633,-5.22589138108308,-3.355164205608113,-3.487713229230886,-4.973071535889155,-5.426744061269549,-4.47309342156702,-5.227029181053871,-5.6043525041415085,-5.071784710226556,-3.9877246118984697,-3.803686625932434,39
-5.4030535194769005,-3.866161562582981,-5.286867364649654,-3.229619274666653,-3.456407347666887,-5.01713552455805,-5.448532065464181,-4.433777530014083,-5.247689240840545,-5.631516287523024,-5.122118559019442,-3.8902088379749076,-3.88406720010565,40
-5.321669264528317,-3.9801456508741437,-5.31913717110703,-3.1432769111614673,-3.436619660539754,-5.0362761678953065,-5.43536400940348,-4.3951320680594925,-5.23275909451053,-5.627211836005338,-5.146502519948427,-3.8295438745164527,-3.9792527202522563,41
